Category	Nutrient	Target population	Age	Gender	AI	AR	PRIs	RI	UL	Safe and adequate intake
Energy	Energy	Children	4 years PAL=1.8	Female	NA 	6.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	5 years PAL=1.4	Female	NA 	5.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	5 years PAL=1.6	Female	NA 	5.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	5 years PAL=1.8	Female	NA 	6.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	6 years PAL=1.4	Female	NA 	5.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	6 years PAL=1.6	Female	NA 	6.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	6 years PAL=1.8	Female	NA 	7.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	7 years PAL=1.4	Female	NA 	5.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	7 years PAL=1.6	Female	NA 	6.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	7 years PAL=1.8	Female	NA 	7.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	8 years PAL=1.4	Female	NA 	6.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	8 years PAL=1.6	Female	NA 	7.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	8 years PAL=1.8	Female	NA 	7.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	9 years PAL=1.4	Female	NA 	6.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	9 years PAL=1.6	Female	NA 	7.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	9 years PAL=1.8	Female	NA 	8.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	10 years PAL=1.6	Female	NA 	7.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	10 years PAL=1.8	Female	NA 	8.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	10 years PAL=2.0	Female	NA 	9.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	11 years PAL=1.6	Female	NA 	8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	11 years PAL=1.8	Female	NA 	9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	11 years PAL=2.0	Female	NA 	10 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	12 years PAL=1.6	Female	NA 	8.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	12 years PAL=1.8	Female	NA 	9.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	12 years PAL=2.0	Female	NA 	10.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	13 years PAL=1.6	Female	NA 	8.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	13 years PAL=1.8	Female	NA 	9.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	13 years PAL=2.0	Female	NA 	11 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	14 years PAL=1.6	Female	NA 	9.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	14 years PAL=1.8	Female	NA 	10.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	14 years PAL=2.0	Female	NA 	11.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	15 years PAL=1.6	Female	NA 	9.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	15 years PAL=1.8	Female	NA 	10.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	15 years PAL=2.0	Female	NA 	11.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	16 years PAL=1.6	Female	NA 	9.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	16 years PAL=1.8	Female	NA 	10.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	16 years PAL=2.0	Female	NA 	11.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	17 years PAL=1.6	Female	NA 	9.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	17 years PAL=1.8	Female	NA 	10.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	17 years PAL=2.0	Female	NA 	11.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=1.4	Male	NA 	9.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=1.6	Male	NA 	11.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=1.8	Male	NA 	12.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=2.0	Male	NA 	14 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=1.4	Male	NA 	9.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=1.6	Male	NA 	10.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=1.8	Male	NA 	12.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=2.0	Male	NA 	13.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 year PAL=1.4	Male	NA 	9.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 year PAL=1.6	Male	NA 	10.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 year PAL=1.8	Male	NA 	12 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 years PAL=2.0	Male	NA 	13.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=1.4	Male	NA 	9.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=1.6	Male	NA 	10.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=1.8	Male	NA 	11.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=2.0	Male	NA 	13.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=1.4	Male	NA 	8.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=1.6	Male	NA 	9.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=1.8	Male	NA 	10.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=2.0	Male	NA 	12.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=1.4	Male	NA 	8.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=1.6	Male	NA 	9.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=1.8	Male	NA 	10.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=2.0	Male	NA 	11.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=1.4	Female	NA 	7.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=1.6	Female	NA 	9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=1.8	Female	NA 	10.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	18–29 years PAL=2.0	Female	NA 	11.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=1.4	Female	NA 	7.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=1.6	Female	NA 	8.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=1.8	Female	NA 	9.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	30–39 years PAL=2.0	Female	NA 	10.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 years PAL=1.4	Female	NA 	7.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 years PAL=1.6	Female	NA 	8.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 years PAL=1.8	Female	NA 	9.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	40–49 years PAL=2.0	Female	NA 	10.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=1.4	Female	NA 	7.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=1.6	Female	NA 	8.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=1.8	Female	NA 	9.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	50–59 years PAL=2.0	Female	NA 	10.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=1.4	Female	NA 	6.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=1.6	Female	NA 	7.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=1.8	Female	NA 	8.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	60–69 years PAL=2.0	Female	NA 	9.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=1.4	Female	NA 	6.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=1.6	Female	NA 	7.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=1.8	Female	NA 	8.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	70–79 years PAL=2.0	Female	NA 	9.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Adults	> 80 years	Male	NA 	9.3 MJ/day 	NA 	NA 	NA
Energy	Energy	Adults	> 80 years	Female	NA 	9.3 MJ/day 	NA 	NA 	NA
Energy	Energy	Pregnant women (1st trimester)	> 18 years	Female	NA 	(+) 0.29 MJ/day	NA 	NA 	NA 	
Energy	Energy	Pregnant women (2nd trimester)	> 18 years	Female	NA 	(+) 1.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Pregnant women (3rd trimester)	> 18 years	Female	NA 	(+) 2.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Lactating women	> 18 years	Female	NA 	(+) 2.1 MJ/day	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	1-3 years	Male	10 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	1-3 years	Female	10 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	4-6 years	Male	14 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	4-6 years	Female	14 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	7-10 years	Male	16 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	7-10 years	Female	16 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	11-14 years	Male	19 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	11-14 years	Female	19 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	15-17 years	Male	21 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Children	15-17 years	Female	21 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Adults	> 18 years	Male	25 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Dietary fibre	Adults	> 18 years	Female	25 g/day	NA 	NA 	NA 	NA 	
Carbohydrates	Total carbohydrates	Infants	7-11 months	Male	NA 	NA 	NA 	45–60 E% 	ND
Carbohydrates	Total carbohydrates	Infants	7-11 months	Female	NA 	NA 	NA 	45–60 E% 	ND
Carbohydrates	Total carbohydrates	Children	1-17 years	Male	NA 	NA 	NA 	45–60 E%	ND 	
Carbohydrates	Total carbohydrates	Children	1-17 years	Female	NA 	NA 	NA 	45–60 E%	ND 	
Carbohydrates	Total carbohydrates	Adults	> 18 years	Male	NA 	NA 	NA 	45–60 E%	ND 	
Carbohydrates	Total carbohydrates	Adults	> 18 years	Female	NA 	NA 	NA 	45–60 E%	ND 	
Fats	Alpha-linolenic acid (ALA)	Infants	7-11 months	Male	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Infants	7-11 months	Female	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Children	1 year	Male	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Children	1 year	Female	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Children	2-3 years	Male	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Children	2-3 years	Female	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Children	4-17 years	Male	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Children	4-17 years	Female	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Adults	> 18 years	Male	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Adults	> 18 years	Female	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Pregnant women	> 18 years	Female	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Alpha-linolenic acid (ALA)	Lactating women	> 18 years	Female	0.5 E%	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Infants	7-11 months	Male	100 mg/day DHA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Infants	7-11 months	Female	100 mg/day DHA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Children	1 year	Male	100 mg/day DHA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Children	1 year	Female	100 mg/day DHA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Children	2-3 years	Male	250 mg/day DHA +EPA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Children	2-3 years	Female	250 mg/day DHA +EPA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Children	4-17 years	Male	250 mg/day DHA +EPA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Children	4-17 years	Female	250 mg/day DHA +EPA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Adults	> 18 years	Male	250 mg/day DHA +EPA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Adults	> 18 years	Female	250 mg/day DHA +EPA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Pregnant women	> 18 years	Female	(+) 100–200 mg/day DHA	NA 	NA 	NA 	ND 	
Fats	Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)	Lactating women	> 18 years	Female	(+) 100–200 mg/day DHA	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Infants	7-11 months	Male	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Infants	7-11 months	Female	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Children	1 year	Male	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Children	1 year	Female	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Children	2-3 years	Male	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Children	2-3 years	Female	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Children	4-17 years	Male	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Children	4-17 years	Female	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Adults	> 18 years	Male	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Adults	> 18 years	Female	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Pregnant women	> 18 years	Female	4 E%	NA 	NA 	NA 	ND 	
Fats	Linoleic acid (LA)	Lactating women	> 18 years	Female	4 E%	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Infants	7-11 months	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Infants	7-11 months	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Children	1 year	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Children	1 year	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Children	2-3 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Children	2-3 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Children	4-17 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Children	4-17 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Adults	> 18 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Adults	> 18 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Pregnant women	> 18 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Pregnant women	> 18 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Lactating women	> 18 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Saturated fatty acids (SFA)	Lactating women	> 18 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Total fat	Infants	7-11 months	Male	40 E%	NA 	NA 	NA 	ND 	
Fats	Total fat	Infants	7-11 months	Female	40 E%	NA 	NA 	NA 	ND 	
Fats	Total fat	Children	1 year	Male	NA 	NA 	NA 	35–40 E%	ND 	
Fats	Total fat	Children	1 year	Female	NA 	NA 	NA 	35–40 E%	ND 	
Fats	Total fat	Children	2-3 years	Male	NA 	NA 	NA 	35–40 E%	ND 	
Fats	Total fat	Children	2-3 years	Female	NA 	NA 	NA 	35–40 E%	ND 	
Fats	Total fat	Children	4-17 years	Male	NA 	NA 	NA 	20–35 E%	ND 	
Fats	Total fat	Children	4-17 years	Female	NA 	NA 	NA 	20–35 E%	ND 	
Fats	Total fat	Adults	> 18 years	Male	NA 	NA 	NA 	20–35 E%	ND 	
Fats	Total fat	Adults	> 18 years	Female	NA 	NA 	NA 	20–35 E%	ND 	
Fats	Total fat	Pregnant women	> 18 years	Female	NA 	NA 	NA 	20–35 E%	ND 	
Fats	Total fat	Lactating women	> 18 years	Female	NA 	NA 	NA 	20–35 E%	ND 	
Fats	Trans-fatty acids (TFA)	Infants	7-11 months	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Infants	7-11 months	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Children	1 year	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Children	1 year	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Children	2-3 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Children	2-3 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Children	4-17 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Children	4-17 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Adults	> 18 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Adults	> 18 years	Female	ALAP 	NA 	NA 	NA 	ND 	
