Category	Nutrient	Target population	Age	Gender	AI	AR	PRIs	RI	UL	Safe and adequate intake
Protein	Protein	Children	2 years	Male	NA 	0.79 g/kg bw per day	0.97 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	2 years	Female	NA 	0.79 g/kg bw per day	0.97 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	3 years	Male	NA 	0.73 g/kg bw per day	0.9 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	3 years	Female	NA 	0.73 g/kg bw per day	0.9 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	4 years	Male	NA 	0.69 g/kg bw per day	0.86 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	4 years	Female	NA 	0.69 g/kg bw per day	0.86 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	5 years	Male	NA 	0.69 g/kg bw per day	0.85 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	5 years	Female	NA 	0.69 g/kg bw per day	0.85 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	6 years	Male	NA 	0.72 g/kg bw per day	0.89 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	6 years	Female	NA 	0.72 g/kg bw per day	0.89 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	7 years	Male	NA 	0.74 g/kg bw per day	0.91 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	7 years	Female	NA 	0.74 g/kg bw per day	0.91 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	8 years	Male	NA 	0.75 g/kg bw per day	0.92 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	8 years	Female	NA 	0.75 g/kg bw per day	0.92 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	9 years	Male	NA 	0.75 g/kg bw per day	0.92 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	9 years	Female	NA 	0.75 g/kg bw per day	0.92 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	10 years	Male	NA 	0.75 g/kg bw per day	0.91 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	10 years	Female	NA 	0.75 g/kg bw per day	0.91 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	11 years	Male	NA 	0.75 g/kg bw per day	0.91 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	11 years	Female	NA 	0.73 g/kg bw per day	0.9 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	12 years	Male	NA 	0.74 g/kg bw per day	0.9 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	12 years	Female	NA 	0.72 g/kg bw per day	0.89 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	13 years	Male	NA 	0.73 g/kg bw per day	0.9 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	13 years	Female	NA 	0.71 g/kg bw per day	0.88 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	14 years	Male	NA 	0.72 g/kg bw per day	0.89 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	14 years	Female	NA 	0.7 g/kg bw per day	0.87 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	15 years	Male	NA 	0.72 g/kg bw per day	0.88 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	15 years	Female	NA 	0.69 g/kg bw per day	0.85 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	16 years	Male	NA 	0.71 g/kg bw per day	0.87 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	16 years	Female	NA 	0.68 g/kg bw per day	0.84 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	17 years	Male	NA 	0.7 g/kg bw per day	0.86 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	17 years	Female	NA 	0.67 g/kg bw per day	0.83 g/kg bw per day	NA 	NA 	
Protein	Protein	Adults	> 18 years	Male	NA 	0.66 g/kg bw per day	0.83 g/kg bw per day	NA 	NA 	
Protein	Protein	Adults	> 18 years	Female	NA 	0.66 g/kg bw per day	0.83 g/kg bw per day	NA 	NA 	
Protein	Protein	Pregnant women (1st trimester)	> 18 years	Female	NA 	(+) 0.52 g/day	(+) 1 g/day	NA 	NA 	
Protein	Protein	Pregnant women (2nd trimester)	> 18 years	Female	NA 	(+) 7.2 g/day	(+) 9 g/day	NA 	NA 	
Protein	Protein	Pregnant women (3rd trimester)	> 18 years	Female	NA 	(+) 23 g/day	(+) 28 g/day	NA 	NA 	
Protein	Protein	Lactating women (0–6 months post partum)	> 18 years	Female	NA 	(+) 15 g/day	(+) 19 g/day	NA 	NA 	
Protein	Protein	Lactating women (>6 months post partum)	> 18 years	Female	NA 	(+) 10 g/day	(+) 13 g/day	NA 	NA 	
Water	Water	Infants	7-11 months	Male	0.8-1.0 L/day	NA 	NA 	NA 	NA 	
Water	Water	Infants	7-11 months	Female	0.8-1.0 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	1 year	Male	1.1-1.2 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	1 year	Female	1.1-1.2 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	2-3 years	Male	1.3 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	2-3 years	Female	1.3 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	4-8 years	Male	1.6 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	4-8 years	Female	1.6 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	9-13 years	Male	2.1 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	9-13 years	Female	1.9 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	14-17 years	Male	2.5 L/day	NA 	NA 	NA 	NA 	
Water	Water	Children	14-17 years	Female	2 L/day	NA 	NA 	NA 	NA 	
Water	Water	Adults	> 18 years	Male	2.5 L/day	NA 	NA 	NA 	NA 	
Water	Water	Adults	> 18 years	Female	2 L/day	NA 	NA 	NA 	NA 	
Water	Water	Pregnant women	> 18 years	Female	2.3 L/day	NA 	NA 	NA 	NA 	
Water	Water	Lactating women	> 18 years	Female	2.7 L/day	NA 	NA 	NA 	NA 	
Minerals	Calcium	Infants	7-11 months	Male	280 mg/day	NA 	NA 	NA 	ND 	
Minerals	Calcium	Infants	7-11 months	Female	280 mg/day	NA 	NA 	NA 	ND 	
Minerals	Calcium	Children	1-3 years	Male	NA 	390 mg/day	450 mg/day	NA 	ND 	
Minerals	Calcium	Children	1-3 years	Female	NA 	390 mg/day	450 mg/day	NA 	ND 	
Minerals	Calcium	Children	4-10 years	Male	NA 	680 mg/day	800 mg/day	NA 	ND 	
Minerals	Calcium	Children	4-10 years	Female	NA 	680 mg/day	800 mg/day	NA 	ND 	
Minerals	Calcium	Children	11-17 years	Male	NA 	960 mg/day	1150 mg/day	NA 	ND 	
Minerals	Calcium	Children	11-17 years	Female	NA 	960 mg/day	1150 mg/day	NA 	ND 	
Minerals	Calcium	Adults	18-24 years	Male	NA 	860 mg/day	1000 mg/day	NA 	2500 mg/day	
Minerals	Calcium	Adults	18-24 years	Female	NA 	860 mg/day	1000 mg/day	NA 	2500 mg/day	
Minerals	Calcium	Adults	> 25 years	Male	NA 	750 mg/day	950 mg/day	NA 	2500 mg/day	
Minerals	Calcium	Adults	> 25 years	Female	NA 	750 mg/day	950 mg/day	NA 	2500 mg/day	
Minerals	Calcium	Pregnant women	18-24 years	Female	NA 	860 mg/day	1000 mg/day	NA 	2500 mg/day	
Minerals	Calcium	Pregnant women	> 25 years	Female	NA 	750 mg/day	950 mg/day	NA 	2500 mg/day	
Minerals	Calcium	Lactating women	18-24 years	Female	NA 	860 mg/day	1000 mg/day	NA 	2500 mg/day	
Minerals	Calcium	Lactating women	> 25 years	Female	NA 	750 mg/day	950 mg/day	NA 	2500 mg/day	
Minerals	Chloride	Infants	7-11 months	Male	0.3 g/day	NA 	NA 	NA 	NA 	NA 
Minerals	Chloride	Infants	7-11 months	Female	0.3 g/day	NA 	NA 	NA 	NA 	NA 
Minerals	Chloride	Children	1-3 years	Male	NA 	NA 	NA 	NA 	NA 	1.7 g/day
Minerals	Chloride	Children	1-3 years	Female	NA 	NA 	NA 	NA 	NA 	1.7 g/day
Minerals	Chloride	Children	4-6 years	Male	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Chloride	Children	4-6 years	Female	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Chloride	Children	7-10 years	Male	NA 	NA 	NA 	NA 	NA 	2.6 g/day
Minerals	Chloride	Children	7-10 years	Female	NA 	NA 	NA 	NA 	NA 	2.6 g/day
Minerals	Chloride	Children	11-17 years	Male	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Chloride	Children	11-17 years	Female	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Chloride	Adults	> 18 years	Male	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Chloride	Adults	> 18 years	Female	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Chloride	Pregnant women	> 18 years	Male	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Chloride	Pregnant women	> 18 years	Female	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Chloride	Lactating women	> 18 years	Male	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Chloride	Lactating women	> 18 years	Female	NA 	NA 	NA 	NA 	NA 	3.1 g/day
Minerals	Copper	Infants	7-11 months	Male	0.4 mg/day	NA 	NA 	NA 	ND 	
Minerals	Copper	Infants	7-11 months	Female	0.4 mg/day	NA 	NA 	NA 	ND 	
Minerals	Copper	Children	1-2 years	Male	0.7 mg/day	NA 	NA 	NA 	1 mg/day	
Minerals	Copper	Children	1-2 years	Female	0.7 mg/day	NA 	NA 	NA 	1 mg/day	
Minerals	Copper	Children	3 years	Male	1 mg/day	NA 	NA 	NA 	1 mg/day	
Minerals	Copper	Children	3 years	Female	1 mg/day	NA 	NA 	NA 	1 mg/day	
Minerals	Copper	Children	4-6 years	Male	1 mg/day	NA 	NA 	NA 	2 mg/day	
Minerals	Copper	Children	4-6 years	Female	1 mg/day	NA 	NA 	NA 	2 mg/day	
Minerals	Copper	Children	7-9 years	Male	1 mg/day	NA 	NA 	NA 	3 mg/day	
Minerals	Copper	Children	7-9 years	Female	1 mg/day	NA 	NA 	NA 	3 mg/day	
Minerals	Copper	Children	10 years	Male	1.3 mg/day	NA 	NA 	NA 	3 mg/day	
Minerals	Copper	Children	10 years	Female	1.1 mg/day	NA 	NA 	NA 	3 mg/day	
Minerals	Copper	Children	11-17 years	Male	1.3 mg/day	NA 	NA 	NA 	4 mg/day	
Minerals	Copper	Children	11-17 years	Female	1.1 mg/day	NA 	NA 	NA 	4 mg/day	
Minerals	Copper	Adults	> 18 years	Male	1.6 mg/day	NA 	NA 	NA 	5 mg/day	
Minerals	Copper	Adults	> 18 years	Female	1.3 mg/day	NA 	NA 	NA 	5 mg/day	
Minerals	Copper	Pregnant women	> 18 years	Female	1.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Copper	Lactating women	> 18 years	Female	1.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Fluoride	Infants	7-11 months	Male	0.4 mg/day	NA 	NA 	NA 	ND 	
Minerals	Fluoride	Infants	7-11 months	Female	0.4 mg/day	NA 	NA 	NA 	ND 	
Minerals	Fluoride	Children	1-3 years	Male	0.6 mg/day	NA 	NA 	NA 	1.5 mg/day	
Minerals	Fluoride	Children	1-3 years	Female	0.6 mg/day	NA 	NA 	NA 	1.5 mg/day	
Minerals	Fluoride	Children	4-6 years	Male	1 mg/day	NA 	NA 	NA 	2.5 mg/day	
Minerals	Fluoride	Children	4-6 years	Female	0.9 mg/day	NA 	NA 	NA 	2.5 mg/day	
Minerals	Fluoride	Children	7-8 years	Male	1.5 mg/day	NA 	NA 	NA 	2.5 mg/day	
Minerals	Fluoride	Children	7-8 years	Female	1.4 mg/day	NA 	NA 	NA 	2.5 mg/day	
Minerals	Fluoride	Children	9-10 years	Male	1.5 mg/day	NA 	NA 	NA 	5 mg/day	
Minerals	Fluoride	Children	9-10 years	Female	1.4 mg/day	NA 	NA 	NA 	5 mg/day	
Minerals	Fluoride	Children	11-14 years	Male	2.2 mg/day	NA 	NA 	NA 	5 mg/day	
Minerals	Fluoride	Children	11-14 years	Female	2.3 mg/day	NA 	NA 	NA 	5 mg/day	
Minerals	Fluoride	Children	15-17 years	Male	3.2 mg/day	NA 	NA 	NA 	7 mg/day	
Minerals	Fluoride	Children	15-17 years	Female	2.8 mg/day	NA 	NA 	NA 	7 mg/day	
Minerals	Fluoride	Adults	> 18 years	Male	3.4 mg/day	NA 	NA 	NA 	7 mg/day	
Minerals	Fluoride	Adults	> 18 years	Female	2.9 mg/day	NA 	NA 	NA 	7 mg/day	
Minerals	Fluoride	Pregnant women	> 18 years	Female	2.9 mg/day	NA 	NA 	NA 	7 mg/day	
Minerals	Fluoride	Lactating women	> 18 years	Female	2.9 mg/day	NA 	NA 	NA 	7 mg/day	
Minerals	Iodine	Infants	7-11 months	Male	70 µg/day	NA 	NA 	NA 	ND
Minerals	Iodine	Infants	7-11 months	Female	70 µg/day	NA 	NA 	NA 	ND
Minerals	Iodine	Children	1-3 years	Male	90 µg/day	NA 	NA 	NA 	200 µg/day
Minerals	Iodine	Children	1-3 years	Female	90 µg/day	NA 	NA 	NA 	200 µg/day
Minerals	Iodine	Children	4-6 years	Male	90 µg/day	NA 	NA 	NA 	250 µg/day
Minerals	Iodine	Children	4-6 years	Female	90 µg/day	NA 	NA 	NA 	250 µg/day
Minerals	Iodine	Children	7-10 years	Male	90 µg/day	NA 	NA 	NA 	300 µg/day
Minerals	Iodine	Children	7-10 years	Female	90 µg/day	NA 	NA 	NA 	300 µg/day
Minerals	Iodine	Children	11-14 years	Male	120 µg/day	NA 	NA 	NA 	450 µg/day
Minerals	Iodine	Children	11-14 years	Female	120 µg/day	NA 	NA 	NA 	450 µg/day
Minerals	Iodine	Children	15-17 years	Male	130 µg/day	NA 	NA 	NA 	500 µg/day
Minerals	Iodine	Children	15-17 years	Female	130 µg/day	NA 	NA 	NA 	500 µg/day
Minerals	Iodine	Adults	> 18 years	Male	150 µg/day	NA 	NA 	NA 	600 µg/day
Minerals	Iodine	Adults	> 18 years	Female	150 µg/day	NA 	NA 	NA 	600 µg/day
Minerals	Iodine	Pregnant women	> 18 years	Female	200 µg/day	NA 	NA 	NA 	600 µg/day
Minerals	Iodine	Lactating women	> 18 years	Female	200 µg/day	NA 	NA 	NA 	600 µg/day
Minerals	Iron	Infants	7-11 months	Male	NA 	8 mg/day	11 mg/day	NA 	ND 	
Minerals	Iron	Infants	7-11 months	Female	NA 	8 mg/day	11 mg/day	NA 	ND 	
Minerals	Iron	Children	1-6 years	Male	NA 	5 mg/day	7 mg/day	NA 	ND 	
Minerals	Iron	Children	1-6 years	Female	NA 	5 mg/day	7 mg/day	NA 	ND 	
Minerals	Iron	Children	7-11 years	Male	NA 	8 mg/day	11 mg/day	NA 	ND 	
Minerals	Iron	Children	7-11 years	Female	NA 	8 mg/day	11 mg/day	NA 	ND 	
Minerals	Iron	Children	12-17 years	Male	NA 	8 mg/day	11 mg/day	NA 	ND 	
Minerals	Iron	Children	12-17 years	Female	NA 	7 mg/day	13 mg/day	NA 	ND 	
Minerals	Iron	Premenopausal women	> 18 years	Female	NA 	7 mg/day	16 mg/day	NA 	ND 	
Minerals	Iron	Postmenopausal women	> 40 years	Female	NA 	6 mg/day	11 mg/day	NA 	ND 	
Minerals	Iron	Adults	> 18 years	Male	NA 	6 mg/day	11 mg/day	NA 	ND 	
Minerals	Iron	Pregnant women	> 18 years	Female	NA 	7 mg/day	16 mg/day	NA 	ND 	
Minerals	Iron	Lactating women	> 18 years	Female	NA 	7 mg/day	16 mg/day	NA 	ND 	
Minerals	Magnesium	Infants	7-11 months	Male	80 mg/day	NA 	NA 	NA 	ND 	
Minerals	Magnesium	Infants	7-11 months	Female	80 mg/day	NA 	NA 	NA 	ND 	
Minerals	Magnesium	Children	1-2 years	Male	170 mg/day	NA 	NA 	NA 	ND 	
Minerals	Magnesium	Children	1-2 years	Female	170 mg/day	NA 	NA 	NA 	ND 	
Minerals	Magnesium	Children	3 years	Male	230 mg/day	NA 	NA 	NA 	ND 	
Minerals	Magnesium	Children	3 years	Female	230 mg/day	NA 	NA 	NA 	ND 	
Minerals	Magnesium	Children	4-9 years	Male	230 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Magnesium	Children	4-9 years	Female	230 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Magnesium	Children	10-17 years	Male	300 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Magnesium	Children	10-17 years	Female	250 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Magnesium	Adults	> 18 years	Male	350 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Magnesium	Adults	> 18 years	Female	300 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Magnesium	Pregnant women	> 18 years	Female	300 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Magnesium	Lactating women	> 18 years	Female	300 mg/day	NA 	NA 	NA 	250 mg/day	
Minerals	Manganese	Infants	7-11 months	Male	0.02–0.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Infants	7-11 months	Female	0.02–0.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	1-3 years	Male	0.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	1-3 years	Female	0.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	4-6 years	Male	1 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	4-6 years	Female	1 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	7-10 years	Male	1.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	7-10 years	Female	1.5 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	11-14 years	Male	2 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	11-14 years	Female	2 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	15-17 years	Male	3 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Children	15-17 years	Female	3 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Adults	> 18 years	Male	3 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Adults	> 18 years	Female	3 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Pregnant women	> 18 years	Female	3 mg/day	NA 	NA 	NA 	ND 	
Minerals	Manganese	Lactating women	> 18 years	Female	3 mg/day	NA 	NA 	NA 	ND 	
Minerals	Molybdenum	Infants	7-11 months	Male	10 µg/day	NA 	NA 	NA 	ND
Minerals	Molybdenum	Infants	7-11 months	Female	10 µg/day	NA 	NA 	NA 	ND
Minerals	Molybdenum	Children	1-3 years	Male	15 µg/day	NA 	NA 	NA 	0.1 mg/day
Minerals	Molybdenum	Children	1-3 years	Female	15 µg/day	NA 	NA 	NA 	0.1 mg/day
Minerals	Molybdenum	Children	4-6 years	Male	20 µg/day	NA 	NA 	NA 	0.2 mg/day
Minerals	Molybdenum	Children	4-6 years	Female	20 µg/day	NA 	NA 	NA 	0.2 mg/day
Minerals	Molybdenum	Children	7-10 years	Male	30 µg/day	NA 	NA 	NA 	0.25 mg/day
Minerals	Molybdenum	Children	7-10 years	Female	30 µg/day	NA 	NA 	NA 	0.25 mg/day
Minerals	Molybdenum	Children	11-14 years	Male	45 µg/day	NA 	NA 	NA 	0.4 mg/day
Minerals	Molybdenum	Children	11-14 years	Female	45 µg/day	NA 	NA 	NA 	0.4 mg/day
Minerals	Molybdenum	Children	15-17 years	Male	65 µg/day	NA 	NA 	NA 	0.5 mg/day
Minerals	Molybdenum	Children	15-17 years	Female	65 µg/day	NA 	NA 	NA 	0.5 mg/day
Minerals	Molybdenum	Adults	> 18 years	Male	65 µg/day	NA 	NA 	NA 	0.6 mg/day
Minerals	Molybdenum	Adults	> 18 years	Female	65 µg/day	NA 	NA 	NA 	0.6 mg/day
Minerals	Molybdenum	Pregnant women	> 18 years	Female	65 µg/day	NA 	NA 	NA 	0.6 mg/day
Minerals	Molybdenum	Lactating women	> 18 years	Female	65 µg/day	NA 	NA 	NA 	0.6 mg/day
Minerals	Phosphorus	Infants	7-11 years	Male	160 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Infants	7-11 years	Female	160 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Children	1-3 years	Male	250 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Children	1-3 years	Female	250 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Children	4-10 years	Male	440 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Children	4-10 years	Female	440 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Children	11-17 years	Male	640 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Children	11-17 years	Female	640 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Adults	> 18 years	Male	550 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Adults	> 18 years	Female	550 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Pregnant women	> 18 years	Female	550 mg/day	NA 	NA 	NA 	ND 	
Minerals	Phosphorus	Lactating women	> 18 years	Female	550 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Infants	7-11 months	Male	750 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Infants	7-11 months	Female	750 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	1-3 years	Male	800 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	1-3 years	Female	800 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	4-6 years	Male	1100 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	4-6 years	Female	1100 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	7-10 years	Male	1800 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	7-10 years	Female	1800 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	11-14 years	Male	2700 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	11-14 years	Female	2700 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	15-17 years	Male	3500 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Children	15-17 years	Female	3500 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Adults	> 18 years	Male	3500 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Adults	> 18 years	Female	3500 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Pregnant women	> 18 years	Female	3500 mg/day	NA 	NA 	NA 	ND 	
Minerals	Potassium	Lactating women	> 18 years	Female	4000 mg/day	NA 	NA 	NA 	ND 	
Minerals	Selenium	Infants	7-11 months	Male	15 µg/day	NA 	NA 	NA 	ND
Minerals	Selenium	Infants	7-11 months	Female	15 µg/day	NA 	NA 	NA 	ND
Minerals	Selenium	Children	1-3 years	Male	15 µg/day	NA 	NA 	NA 	60 µg/day
Minerals	Selenium	Children	1-3 years	Female	15 µg/day	NA 	NA 	NA 	60 µg/day
Minerals	Selenium	Children	4-6 years	Male	20 µg/day	NA 	NA 	NA 	90 µg/day
Minerals	Selenium	Children	4-6 years	Female	20 µg/day	NA 	NA 	NA 	90 µg/day
Minerals	Selenium	Children	7-10 years	Male	35 µg/day	NA 	NA 	NA 	130 µg/day
Minerals	Selenium	Children	7-10 years	Female	35 µg/day	NA 	NA 	NA 	130 µg/day
Minerals	Selenium	Children	11-14 years	Male	55 µg/day	NA 	NA 	NA 	200 µg/day
Minerals	Selenium	Children	11-14 years	Female	55 µg/day	NA 	NA 	NA 	200 µg/day
Minerals	Selenium	Children	15-17 years	Male	70 µg/day	NA 	NA 	NA 	250 µg/day
Minerals	Selenium	Children	15-17 years	Female	70 µg/day	NA 	NA 	NA 	250 µg/day
Minerals	Selenium	Adults	> 18 years	Male	70 µg/day	NA 	NA 	NA 	300 µg/day
Minerals	Selenium	Adults	> 18 years	Female	70 µg/day	NA 	NA 	NA 	300 µg/day
Minerals	Selenium	Pregnant women	> 18 years	Female	70 µg/day	NA 	NA 	NA 	300 µg/day
Minerals	Selenium	Lactating women	> 18 years	Female	85 µg/day	NA 	NA 	NA 	300 µg/day
Minerals	Sodium	Infants	7-11 months	Male	0.2 g/day	NA 	NA 	NA 	NA 	NA 
Minerals	Sodium	Infants	7-11 months	Female	0.2 g/day	NA 	NA 	NA 	NA 	NA 
Minerals	Sodium	Children	1-3 years	Male	NA 	NA 	NA 	NA 	NA 	1.1 g/day
Minerals	Sodium	Children	1-3 years	Female	NA 	NA 	NA 	NA 	NA 	1.1 g/day
Minerals	Sodium	Children	4-6 years	Male	NA 	NA 	NA 	NA 	NA 	1.3 g/day
Minerals	Sodium	Children	4-6 years	Female	NA 	NA 	NA 	NA 	NA 	1.3 g/day
Minerals	Sodium	Children	7-10 years	Male	NA 	NA 	NA 	NA 	NA 	1.7 g/day
Minerals	Sodium	Children	7-10 years	Female	NA 	NA 	NA 	NA 	NA 	1.7 g/day
Minerals	Sodium	Children	11-17 years	Male	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Sodium	Children	11-17 years	Female	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Sodium	Adults	> 18 years	Male	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Sodium	Adults	> 18 years	Female	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Sodium	Pregnant women	> 18 years	Male	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Sodium	Pregnant women	> 18 years	Female	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Sodium	Lactating women	> 18 years	Male	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Sodium	Lactating women	> 18 years	Female	NA 	NA 	NA 	NA 	NA 	2 g/day
Minerals	Zinc	Infants	7-11 months	Male	NA 	2.4 mg/day	2.9 mg/day	NA 	ND 	
Minerals	Zinc	Infants	7-11 months	Female	NA 	2.4 mg/day	2.9 mg/day	NA 	ND 	
Minerals	Zinc	Children	1-3 years	Male	NA 	3.6 mg/day	4.3 mg/day	NA 	7  mg/day	
Minerals	Zinc	Children	1-3 years	Female	NA 	3.6 mg/day	4.3 mg/day	NA 	7  mg/day	
Minerals	Zinc	Children	4-6 years	Male	NA 	4.6 mg/day	5.5 mg/day	NA 	10  mg/day	
Minerals	Zinc	Children	4-6 years	Female	NA 	4.6 mg/day	5.5 mg/day	NA 	10  mg/day	
Minerals	Zinc	Children	7-10 years	Male	NA 	6.2 mg/day	7.4 mg/day	NA 	13  mg/day	
Minerals	Zinc	Children	7-10 years	Female	NA 	6.2 mg/day	7.4 mg/day	NA 	13  mg/day	
Minerals	Zinc	Children	11-14 years	Male	NA 	8.9 mg/day	10.7 mg/day	NA 	18  mg/day	
Minerals	Zinc	Children	11-14 years	Female	NA 	8.9 mg/day	10.7 mg/day	NA 	18  mg/day	
Minerals	Zinc	Children	15-17 years	Male	NA 	11.8 mg/day	14.2 mg/day	NA 	22  mg/day	
Minerals	Zinc	Children	15-17 years	Female	NA 	9.9 mg/day	11.9 mg/day	NA 	22  mg/day	
Minerals	Zinc	Adults (LPI 300 mg/day)	> 18 years	Male	NA 	7.5 mg/day	9.4 mg/day	NA 	25  mg/day	
Minerals	Zinc	Adults (LPI 600 mg/day)	> 18 years	Male	NA 	9.3 mg/day	11.7 mg/day	NA 	25  mg/day	
Minerals	Zinc	Adults (LPI 900 mg/day)	> 18 years	Male	NA 	11 mg/day	14 mg/day	NA 	25  mg/day	
